modid,item_name,meta,nbt_base64
minecraft,stone,0,
minecraft,grass,0,
minecraft,dirt,0,
minecraft,dirt,2,
minecraft,cobblestone,0,
minecraft,planks,0,
minecraft,planks,1,
minecraft,planks,2,
minecraft,planks,3,
minecraft,planks,4,
minecraft,planks,5,
BiomesOPlenty,planks,0,
BiomesOPlenty,planks,1,
BiomesOPlenty,planks,2,
BiomesOPlenty,planks,3,
BiomesOPlenty,planks,4,
BiomesOPlenty,planks,5,
BiomesOPlenty,planks,6,
BiomesOPlenty,planks,7,
BiomesOPlenty,planks,8,
BiomesOPlenty,planks,9,
BiomesOPlenty,planks,10,
BiomesOPlenty,planks,11,
BiomesOPlenty,planks,12,
BiomesOPlenty,planks,13,
BiomesOPlenty,planks,14,
BloodArsenal,blood_infused_planks,0,
Botania,shimmerwoodPlanks,0,
ExtraTrees,planks,0,H4sIAAAAAAAA/+NiYGBmYMlNLUlkAAEAkOwBIA8AAAA=
ExtraTrees,planks,1,H4sIAAAAAAAA/+NiYGBmYMlNLUlkYGBgZAAA0d0aOQ8AAAA=
ExtraTrees,planks,2,H4sIAAAAAAAA/+NiYGBmYMlNLUlkYGBgYgAAEo43Eg8AAAA=
ExtraTrees,planks,3,H4sIAAAAAAAA/+NiYGBmYMlNLUlkALEAU78sCw8AAAA=
ExtraTrees,planks,4,H4sIAAAAAAAA/+NiYGBmYMlNLUlkYGBgYQAAlCltRA8AAAA=
ExtraTrees,planks,5,H4sIAAAAAAAA/+NiYGBmYMlNLUlkYGBgZQAA1Rh2XQ8AAAA=
ExtraTrees,planks,6,H4sIAAAAAAAA/+NiYGBmYMlNLUlkYGBgYwAAFktbdg8AAAA=
ExtraTrees,planks,7,H4sIAAAAAAAA/+NiYGBmYMlNLUlkYGBgZwAAV3pAbw8AAAA=
ExtraTrees,planks,8,H4sIAAAAAAAA/+NiYGBmYMlNLUlkYGDgYAAAmGbY6A8AAAA=
ExtraTrees,planks,9,H4sIAAAAAAAA/+NiYGBmYMlNLUlkYGDgZAAA2VfD8Q8AAAA=
ExtraTrees,planks,10,H4sIAAAAAAAA/+NiYGBmYMlNLUlkYGDgYgAAGgTu2g8AAAA=
ExtraTrees,planks,11,H4sIAAAAAAAA/+NiYGBmYMlNLUlkYGDgZgAAWzX1ww8AAAA=
ExtraTrees,planks,12,H4sIAAAAAAAA/+NiYGBmYMlNLUlkYGDgYQAAnKO0jA8AAAA=
ExtraTrees,planks,13,H4sIAAAAAAAA/+NiYGBmYMlNLUlkYGDgZQAA3ZKvlQ8AAAA=
ExtraTrees,planks,14,H4sIAAAAAAAA/+NiYGBmYMlNLUlkYGDgYwAAHsGCvg8AAAA=
ExtraTrees,planks,15,H4sIAAAAAAAA/+NiYGBmYMlNLUlkYGDgZwAAX/CZpw8AAAA=
ExtraTrees,planks,16,H4sIAAAAAAAA/+NiYGBmYMlNLUlkYGAQYAAAwf7Dag8AAAA=
